Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:00:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:01:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:02:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:03:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:04:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:05:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:06:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:07:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:08:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:09:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:10:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:11:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:12:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:13:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:14:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:15:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:16:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:17:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:18:00
Always,Very Anxious,Extremely,Always,Not at all,Very poorly,2025-06-11 09:19:00
Sometimes,Somewhat Confident,Moderately,Sometimes,Somewhat supported,Moderately well,2025-06-11 10:00:00
Sometimes,Somewhat Confident,Moderately,Sometimes,Somewhat supported,Moderately well,2025-06-11 10:01:00
Sometimes,Somewhat Confident,Moderately,Sometimes,Somewhat supported,Moderately well,2025-06-11 10:02:00
Sometimes,Somewhat Confident,Moderately,Sometimes,Somewhat supported,Moderately well,2025-06-11 10:03:00
Sometimes,Somewhat Confident,Moderately,Sometimes,Somewhat supported,Moderately well,2025-06-11 10:04:00
Sometimes,Somewhat Confident,Moderately,Sometimes,Somewhat supported,Moderately well,2025-06-11 10:05:00
Sometimes,Somewhat Confident,Moderately,Sometimes,Somewhat supported,Moderately well,2025-06-11 10:06:00
Sometimes,Somewhat Confident,Moderately,Sometimes,Somewhat supported,Moderately well,2025-06-11 10:07:00
Sometimes,Somewhat Confident,Moderately,Sometimes,Somewhat supported,Moderately well,2025-06-11 10:08:00
Sometimes,Somewhat Confident,Moderately,Sometimes,Somewhat supported,Moderately well,2025-06-11 10:09:00
Sometimes,Somewhat Confident,Moderately,Sometimes,Somewhat supported,Moderately well,2025-06-11 10:10:00
Sometimes,Somewhat Confident,Moderately,Sometimes,Somewhat supported,Moderately well,2025-06-11 10:11:00
Sometimes,Somewhat Confident,Moderately,Sometimes,Somewhat supported,Moderately well,2025-06-11 10:12:00
